iter	Passed	Remaining
0	141	141598
1	142	71243
2	143	47731
3	144	35927
4	145	28865
5	145	24143
6	146	20750
7	146	18208
8	147	16225
9	147	14637
10	148	13341
11	149	12268
12	149	11359
13	150	10606
14	151	9932
15	151	9347
16	152	8830
17	153	8372
18	154	7959
19	154	7590
20	155	7258
21	156	6953
22	157	6669
23	157	6406
24	158	6163
25	158	5943
26	159	5739
27	160	5559
28	160	5385
29	161	5222
30	162	5070
31	162	4926
32	163	4792
33	164	4686
34	165	4570
35	166	4459
36	167	4352
37	167	4249
38	168	4150
39	169	4061
40	169	3974
41	170	3892
42	171	3811
43	171	3735
44	172	3661
45	173	3590
46	173	3522
47	174	3456
48	174	3394
49	175	3334
50	176	3278
51	176	3225
52	177	3176
53	178	3124
54	178	3074
55	179	3030
56	180	2987
57	181	2944
58	181	2902
59	182	2862
60	183	2823
61	184	2784
62	184	2745
63	185	2709
64	185	2673
65	186	2639
66	187	2606
67	187	2572
68	188	2541
69	188	2510
70	189	2481
71	190	2453
72	190	2424
73	191	2399
74	192	2376
75	193	2352
76	194	2327
77	194	2302
78	195	2279
79	196	2255
80	196	2232
81	197	2210
82	197	2185
83	198	2162
84	198	2140
85	199	2119
86	200	2100
87	200	2081
88	201	2062
89	202	2045
90	202	2027
91	203	2011
92	204	1994
93	205	1977
94	205	1960
95	206	1944
96	207	1927
97	207	1911
98	208	1897
99	209	1882
100	209	1867
101	210	1851
102	210	1836
103	211	1822
104	212	1808
105	212	1794
106	213	1781
107	214	1768
108	214	1756
109	215	1743
110	216	1730
111	216	1718
112	217	1706
113	218	1695
114	218	1683
115	219	1672
116	220	1660
117	220	1649
118	221	1638
119	221	1626
120	222	1615
121	223	1605
122	223	1595
123	224	1584
124	225	1575
125	225	1566
126	226	1556
127	226	1546
128	227	1536
129	228	1526
130	228	1518
131	229	1509
132	230	1501
133	230	1492
134	231	1483
135	232	1474
136	232	1465
137	233	1456
138	233	1448
139	234	1440
140	235	1433
141	235	1425
142	236	1417
143	237	1410
144	237	1402
145	238	1395
146	239	1387
147	239	1380
148	240	1373
149	240	1365
150	241	1358
151	242	1351
152	242	1344
153	243	1336
154	243	1329
155	244	1322
156	245	1315
157	245	1309
158	246	1303
159	247	1299
160	247	1292
161	248	1285
162	249	1279
163	250	1274
164	250	1269
165	251	1263
166	252	1258
167	252	1252
168	253	1246
169	254	1240
170	254	1234
171	255	1229
172	255	1223
173	256	1218
174	257	1212
175	258	1208
176	258	1202
177	259	1196
178	259	1192
179	260	1187
180	261	1182
181	262	1178
182	262	1173
183	263	1168
184	263	1162
185	264	1157
186	264	1152
187	265	1146
188	266	1141
189	266	1137
190	267	1133
191	268	1129
192	268	1124
193	269	1119
194	270	1115
195	270	1111
196	271	1106
197	272	1102
198	272	1098
199	273	1093
200	273	1088
201	274	1084
202	275	1080
203	275	1076
204	276	1072
205	277	1067
206	277	1064
207	278	1060
208	279	1056
209	279	1052
210	280	1048
211	280	1043
212	281	1039
213	281	1035
214	282	1031
215	283	1027
216	283	1023
